Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
01-09-2021_18-58-55,XRP/USD,100,0.32729,0.3264,0.2719300925784478,-0.4780699074215522,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-55,BCH/USD,100,574.975,574.26,0.12435323274925549,-0.38464676725074454,0.509,False,Bittrex,Kraken
01-09-2021_18-58-56,BTC/USD,100,40275.17,40262.97,0.030291616397887557,-0.7197083836021124,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-56,ETH/USD,100,1282.315,1281.15,0.0908513118851424,-0.4191486881148576,0.51,False,Bittrex,Kraken
01-09-2021_18-58-56,XRP/USD,100,0.32729,0.3264,0.2719300925784478,-0.4780699074215522,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-57,BCH/USD,100,575.0,574.26,0.12869565217391463,-0.6313043478260854,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-58-57,BTC/USD,100,40275.17,40262.97,0.030291616397887557,-0.7197083836021124,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-58,ETH/USD,100,1282.26,1281.15,0.08656590707032115,-0.27343409292967885,0.36,False,Binance US,Kraken
01-09-2021_18-58-58,XRP/USD,100,0.32729,0.3263,0.3024840355648038,-0.4475159644351962,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-58,BCH/USD,100,575.0,574.47,0.09217391304347351,-0.6678000869565264,0.7599739999999999,False,Coinbase Pro,Kraken
01-09-2021_18-58-59,BTC/USD,100,40275.17,40262.87,0.030539908335571606,-0.7194600916644284,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-59,ETH/USD,100,1282.26,1280.98,0.09982374869371054,-0.5001762513062894,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-59-00,XRP/USD,100,0.32729,0.3259,0.42469980751015984,-0.32530019248984016,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-00,BCH/USD,100,575.25,574.47,0.1355932203389783,-0.6243807796610217,0.7599739999999999,False,Coinbase Pro,Kraken
01-09-2021_18-59-01,BTC/USD,100,40265.78,40255.6,0.025282013660235296,-0.7347179863397647,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-59-02,ETH/USD,100,1282.054,1280.59,0.1141917579134864,-0.6358082420865137,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-02,XRP/USD,100,0.327,0.3258,0.36697247706423064,-0.38302752293576936,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-03,BCH/USD,100,575.25,574.47,0.1355932203389783,-0.6243807796610217,0.7599739999999999,False,Coinbase Pro,Kraken
01-09-2021_18-59-04,BTC/USD,100,40262.768,40247.6,0.037672521670635874,-0.4723274783293641,0.51,False,Bittrex,Kraken
01-09-2021_18-59-04,ETH/USD,100,1281.424,1280.59,0.06508384422330626,-0.6839161557766937,0.749,False,Bittrex,Coinbase Pro
01-09-2021_18-59-04,XRP/USD,100,0.32627,0.3258,0.14405247187912648,-0.6059475281208735,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-05,BCH/USD,100,575.25,574.47,0.1355932203389783,-0.6243807796610217,0.7599739999999999,False,Coinbase Pro,Kraken
01-09-2021_18-59-05,BTC/USD,100,40268.53,40253.778,0.0366340663540497,-0.7133659336459504,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-06,ETH/USD,100,1281.424,1280.65,0.06040155327197611,-0.4485984467280239,0.509,False,Bittrex,Kraken
01-09-2021_18-59-06,XRP/USD,100,0.32627,0.3258,0.14405247187912648,-0.6059475281208735,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-07,BCH/USD,100,576.56,575.2,0.2358817816012037,-0.2642882183987963,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-59-07,BTC/USD,100,40269.61,40261.02,0.021331222229377896,-0.47867077777062206,0.500002,False,Coinbase Pro,Binance US
01-09-2021_18-59-08,ETH/USD,100,1281.421,1280.51,0.07109295071643576,-0.6789070492835643,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-08,XRP/USD,100,0.32627,0.32587,0.12259784840776396,-0.38740215159223607,0.51,False,Bittrex,Kraken
01-09-2021_18-59-09,BCH/USD,100,576.95,575.26,0.2929196637490345,-0.4670803362509655,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-59-09,BTC/USD,100,40271.87,40260.37,0.02855591260102895,-0.471446087398971,0.500002,False,Coinbase Pro,Binance US
01-09-2021_18-59-10,ETH/USD,100,1281.418,1280.78,0.04978859357367541,-0.20029140642632462,0.25008,False,Bittrex,Binance US
01-09-2021_18-59-10,XRP/USD,100,0.32664,0.32587,0.23573352926769317,-0.2742664707323068,0.51,False,Bittrex,Kraken
01-09-2021_18-59-10,BCH/USD,100,576.95,575.87,0.18719126440766806,-0.3129787355923319,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-59-11,BTC/USD,100,40268.87,40261.6,0.018053647892290185,-0.4919463521077098,0.51,False,Bittrex,Kraken
01-09-2021_18-59-11,ETH/USD,100,1281.362,1280.78,0.04542041983452821,-0.2046595801654718,0.25008,False,Bittrex,Binance US
01-09-2021_18-59-12,XRP/USD,100,0.32664,0.32587,0.23573352926769317,-0.2742664707323068,0.51,False,Bittrex,Kraken
01-09-2021_18-59-12,BCH/USD,100,577.46,576.21,0.21646520971149513,-0.5435347902885048,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-59-13,BTC/USD,100,40268.87,40258.8,0.025006909804024074,-0.4849930901959759,0.51,False,Bittrex,Kraken
01-09-2021_18-59-13,ETH/USD,100,1281.09,1280.396,0.05417261862944524,-0.4558273813705548,0.51,False,Kraken,Bittrex
01-09-2021_18-59-13,XRP/USD,100,0.32664,0.326,0.19593436198872582,-0.5540656380112742,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-14,BCH/USD,100,578.65,576.742,0.3297329992223305,-0.4202670007776695,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-14,BTC/USD,100,40266.82,40251.25,0.03866707130088671,-0.2113349286991133,0.250002,False,Bittrex,Binance US
01-09-2021_18-59-15,ETH/USD,100,1281.31,1280.396,0.0713332448821899,-0.2786667551178101,0.35,False,Binance US,Bittrex
01-09-2021_18-59-15,XRP/USD,100,0.32664,0.3259,0.2265491060494621,-0.5234508939505379,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-15,BCH/USD,100,578.65,576.305,0.40525360753478396,-0.34474639246521604,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-16,BTC/USD,100,40261.728,40251.25,0.026024715084267604,-0.2239772849157324,0.250002,False,Bittrex,Binance US
01-09-2021_18-59-16,ETH/USD,100,1281.31,1280.397,0.07125519975650006,-0.2787448002434999,0.35,False,Binance US,Bittrex
01-09-2021_18-59-16,XRP/USD,100,0.32664,0.3259,0.2265491060494621,-0.5234508939505379,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-17,BCH/USD,100,578.0,576.305,0.293252595155718,-0.05674740484428198,0.35,False,Binance US,Bittrex
01-09-2021_18-59-18,BTC/USD,100,40261.728,40251.25,0.026024715084267604,-0.2239772849157324,0.250002,False,Bittrex,Binance US
01-09-2021_18-59-18,ETH/USD,100,1281.08,1280.396,0.05339245012020866,-0.2966075498797913,0.35,False,Binance US,Bittrex
01-09-2021_18-59-19,XRP/USD,100,0.32664,0.3252,0.44085231447465006,-0.30914768552534994,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-20,BCH/USD,100,577.2,576.304,0.15523215523216766,-0.35474184476783227,0.5099739999999999,False,Kraken,Bittrex
01-09-2021_18-59-21,BTC/USD,100,40261.679,40246.19,0.038470824825745896,-0.7105291751742541,0.749,False,Bittrex,Coinbase Pro
01-09-2021_18-59-21,ETH/USD,100,1280.43,1279.76,0.052326171676708035,-0.707673828323292,0.76,False,Kraken,Coinbase Pro
01-09-2021_18-59-22,XRP/USD,100,0.32664,0.3254,0.3796228263531605,-0.3703771736468395,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-22,BCH/USD,100,577.6,576.305,0.22420360110804582,-0.12579639889195415,0.35,False,Binance US,Bittrex
01-09-2021_18-59-22,BTC/USD,100,40252.1,40234.4,0.04397286104326753,-0.21602913895673248,0.260002,False,Kraken,Binance US
01-09-2021_18-59-23,ETH/USD,100,1280.43,1279.92,0.03983036948525034,-0.7201696305147497,0.76,False,Kraken,Coinbase Pro
01-09-2021_18-59-23,XRP/USD,100,0.32664,0.3254,0.3796228263531605,-0.3703771736468395,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-23,BCH/USD,100,577.69,576.305,0.2397479617095855,-0.2702520382904145,0.51,False,Kraken,Bittrex
01-09-2021_18-59-24,BTC/USD,100,40252.1,40239.73,0.030731315881644298,-0.22927068411835572,0.260002,False,Kraken,Binance US
01-09-2021_18-59-24,ETH/USD,100,1280.43,1280.03,0.031239505478635375,-0.7287604945213646,0.76,False,Kraken,Coinbase Pro
01-09-2021_18-59-24,XRP/USD,100,0.32664,0.3254,0.3796228263531605,-0.3703771736468395,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-25,BCH/USD,100,577.98,576.305,0.2898024153085,-0.4601975846915,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-25,BTC/USD,100,40252.1,40246.19,0.014682463772067089,-0.745317536227933,0.76,False,Kraken,Coinbase Pro
01-09-2021_18-59-26,ETH/USD,100,1280.43,1280.14,0.022648641472002656,-0.23743135852799738,0.26008000000000003,False,Kraken,Binance US
01-09-2021_18-59-26,XRP/USD,100,0.32664,0.3255,0.34900808229242425,-0.40099191770757575,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-26,BCH/USD,100,577.98,576.305,0.2898024153085,-0.4601975846915,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-27,BTC/USD,100,40252.1,40248.11,0.009912526302970437,-0.25008947369702955,0.260002,False,Kraken,Binance US
01-09-2021_18-59-27,ETH/USD,100,1281.16,1280.2,0.07493209279091106,-0.5250679072090889,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-59-27,XRP/USD,100,0.32664,0.3255,0.34900808229242425,-0.40099191770757575,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-28,BCH/USD,100,578.3,576.305,0.3449766557150276,-0.4050233442849724,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-28,BTC/USD,100,40252.1,40242.01,0.02506701513708976,-0.23493498486291026,0.260002,False,Kraken,Binance US
01-09-2021_18-59-28,ETH/USD,100,1281.01,1280.06,0.07416023294119839,-0.5258397670588015,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-59-29,XRP/USD,100,0.32664,0.3256,0.318393338231688,-0.431606661768312,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-59-29,BCH/USD,100,578.3,576.305,0.3449766557150276,-0.4050233442849724,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-59-30,BTC/USD,100,40252.1,40247.82,0.010632985608201402,-0.24936901439179862,0.260002,False,Kraken,Binance US
01-09-2021_18-59-30,ETH/USD,100,1281.01,1280.397,0.04785286609784907,-0.3021471339021509,0.35,False,Binance US,Bittrex
01-09-2021_18-59-30,XRP/USD,100,0.32664,0.3256,0.318393338231688,-0.431606661768312,0.75,False,Bittrex,Coinbase Pro
